Time,RSteps,X,Y,Z
590.6309,1,-3171.383,-5686.424,1264.882
590.6108,1,-3171.383,-5686.424,1264.882
590.5908,1,-3171.383,-5686.424,1264.882
590.5708,1,-3171.383,-5686.424,1264.882
590.5508,1,-3171.383,-5686.424,1264.882
590.5308,1,-3171.383,-5686.424,1264.882
590.5107,1,-3171.383,-5686.424,1264.882
590.4907,1,-3171.383,-5686.424,1264.882
590.4707,1,-3171.383,-5686.424,1264.882
590.4507,1,-3171.383,-5686.424,1264.882
590.4307,1,-3171.383,-5686.424,1264.882
590.4106,1,-3171.383,-5686.424,1264.882
590.3906,1,-3171.383,-5686.424,1264.882
590.3706,1,-3171.383,-5686.424,1264.882
590.3506,1,-3171.383,-5686.424,1264.882
590.3306,1,-3171.383,-5686.424,1264.882
590.3105,1,-3171.383,-5686.424,1264.882
590.2905,1,-3171.383,-5686.424,1264.882
590.2705,1,-3171.383,-5686.424,1264.882
590.2505,1,-3171.383,-5686.424,1264.882
590.2305,1,-3171.383,-5686.424,1264.882
590.2104,1,-3171.383,-5686.424,1264.882
590.1904,1,-3171.383,-5686.424,1264.882
590.1704,1,-3171.383,-5686.424,1264.882
590.1504,1,-3171.383,-5686.424,1264.882
590.1304,1,-3171.383,-5686.424,1264.882
590.1104,1,-3171.383,-5686.424,1264.882
590.0903,1,-3171.383,-5686.424,1264.882
590.0703,1,-3171.383,-5686.424,1264.882
590.0503,1,-3171.383,-5686.424,1264.882
590.0303,1,-3171.383,-5686.424,1264.882
590.0103,1,-3171.383,-5686.424,1264.882
589.9902,1,-3171.383,-5686.424,1264.882
589.9702,1,-3171.383,-5686.424,1264.882
589.9502,1,-3171.383,-5686.424,1264.882
589.9302,1,-3171.383,-5686.424,1264.882
589.9102,1,-3171.383,-5686.424,1264.882
589.8901,1,-3171.383,-5686.424,1264.882
589.8701,1,-3171.383,-5686.424,1264.882
589.8501,1,-3171.383,-5686.424,1264.882
589.8301,1,-3171.383,-5686.424,1264.882
589.8101,1,-3171.383,-5686.424,1264.882
589.79,1,-3171.383,-5686.424,1264.882
589.77,1,-3171.383,-5686.424,1264.882
589.75,1,-3171.383,-5686.424,1264.882
589.73,1,-3171.383,-5686.424,1264.882
589.71,1,-3171.383,-5686.424,1264.882
589.6899,1,-3171.383,-5686.424,1264.882
589.6699,1,-3171.383,-5686.424,1264.882
589.6499,1,-3171.383,-5686.424,1264.882
589.6299,1,-3171.383,-5686.424,1264.882
589.6099,1,-3171.383,-5686.424,1264.882
589.5898,1,-3171.383,-5686.424,1264.882
589.5698,1,-3171.383,-5686.424,1264.882
589.5498,1,-3171.383,-5686.424,1264.882
589.5298,1,-3171.383,-5686.424,1264.882
589.5098,1,-3171.383,-5686.424,1264.882
589.4897,1,-3171.383,-5686.424,1264.882
589.4697,1,-3171.383,-5686.424,1264.882
589.4497,1,-3171.383,-5686.424,1264.882
589.4297,1,-3171.383,-5686.424,1264.882
589.4097,1,-3171.383,-5686.424,1264.882
589.3896,1,-3171.383,-5686.424,1264.882
589.3696,1,-3171.383,-5686.424,1264.882
589.3496,1,-3171.383,-5686.424,1264.882
589.3296,1,-3171.383,-5686.424,1264.882
589.3096,1,-3171.383,-5686.424,1264.882
589.2896,1,-3171.383,-5686.424,1264.882
589.2695,1,-3171.383,-5686.424,1264.882
589.2495,1,-3171.383,-5686.424,1264.882
589.2295,1,-3171.383,-5686.424,1264.882
589.2095,1,-3171.383,-5686.424,1264.882
589.1895,1,-3171.383,-5686.424,1264.882
589.1694,1,-3171.383,-5686.424,1264.882
589.1494,1,-3171.383,-5686.424,1264.882
589.1294,1,-3171.383,-5686.424,1264.882
589.1094,1,-3171.383,-5686.424,1264.882
589.0894,1,-3171.383,-5686.424,1264.882
589.0693,1,-3171.383,-5686.424,1264.882
589.0493,1,-3171.383,-5686.424,1264.882
589.0293,1,-3171.383,-5686.424,1264.882
589.0093,1,-3171.383,-5686.424,1264.882
